TC_ref_C,Pyr1_mean,Pyr1_pred,YOUR_ATP2_Pyr1_err,Pyr2_mean,Pyr2_pred,YOUR_ATP2_Pyr2_err
820,816.70114,800.6,-19.35,823.51591,816.4,-3.57
800,828.61004,838.3,38.26,834.62123,838.9,38.92
850,834.69867,857.5,7.49,841.43956,852.7,2.74
830,835.31002,859.4,29.42,842.54427,855.0,24.97
880,834.02807,855.4,-24.63,840.14831,850.1,-29.88
860,833.61509,854.1,-5.93,842.45302,854.8,-5.21
840,832.93943,851.9,11.94,844.2703,858.5,18.47
820,835.66481,860.5,40.54,845.51673,861.0,41.0
800,833.12731,852.5,52.53,839.96018,849.7,49.74
990,835.40391,859.7,-130.28,841.47872,852.8,-137.18
